year,avg_hrly_pay_0,avg_hrly_pay_1,avg_weekpay_0,avg_weekpay_1,avg_hrs_0,avg_hrs_1,n_0,n_1,wgt_n_0,wgt_n_1,epop_0,epop_1,cutoffs_0,cutoffs_1
1994,3.2932846076986273,25.353628967887495,122.81399978625569,1056.0817551470009,11.996750609260763,40.22474353111708,114483,115901,73145409.43242137,73121328.25106303,0.3757312441079091,1,11.63727305368943,197.46283742731248
1995,3.615419685892255,25.635749591378378,135.2587711438203,1078.1525028316946,12.894959110380338,40.41254913094784,115555,112709,75466609.72579193,72318049.15554555,0.4009583398325953,1,11.69773635153129,194.7391389117899
1996,3.5274611356599643,25.412164562268945,131.4689944002578,1071.2773894930826,12.775854522303131,40.382357279834785,100524,101685,74706906.57734425,74689378.28332265,0.39503069030631555,1,11.73612198167892,199.12884114781266
1997,3.793617582559528,26.020142713589383,140.79359087238365,1099.272635451595,13.399943332812256,40.60771334845373,102352,102731,75929832.52223206,75929086.45521037,0.4109761289781856,1,12.020447957429946,191.5030257700871
1998,4.1926560978995555,27.1390505947835,155.53319659123477,1152.1766371722808,14.077549803287834,40.478914269405266,103959,101609,78260485.25021362,75590821.15487163,0.42852389644886163,1,12.576200417536535,198.3462479019964
1999,4.3085608436334715,27.82321468584445,NA,NA,14.274877860632554,40.74951392449143,105003,103379,79294408.64924367,77185885.67838287,0.43085050583178824,1,13.083605887162713,197.33874407539724
2000,4.534716970868975,28.45998492113644,172.0634305235961,1210.4663592074949,14.988676508869139,41.00630451595219,107564,102149,82388728.4865392,77719967.49694316,0.4432244143432399,1,13.398576512455517,195.94797996439553
2001,4.098857744306053,28.303784383316252,154.1878125705185,1196.0751995122107,13.59145648921019,40.358327844377115,110938,113865,81320280.44845326,81228450.8380661,0.40652643726105137,1,13.027681660899653,198.72385194419806
2002,3.8311508593687735,28.568345745207868,142.77740375902263,1200.8870698792125,12.589758995927632,40.25375627377641,119832,125124,82519886.22680919,82507429.2442805,0.3818061318760573,1,13.063020892074674,199.31028973956995
2003,3.617936720542725,28.486421656079354,133.59806813770052,1194.1638033122608,11.946496986158966,40.141145064640746,119283,123993,83667022.61775589,83606424.57991791,0.3647156249349698,1,13.063240192450037,194.2666044030522
2004,3.5906628132593994,28.51714132774747,133.31080385948445,1198.0816922415975,11.967023583858463,40.162940320950526,117114,121701,84524708.64333089,84322946.35303879,0.3651034675201693,1,12.889189189189189,192.66796817264083
2005,4.132824543568032,29.306075170680135,155.9288981132923,1235.707861891973,13.519610712717693,40.516817934524475,122994,115799,90416079.980985,80628173.98816173,0.40584234388585616,1,13.123039386545836,189.13580515859186
2006,3.946106643911719,29.006481150278614,148.21659278868546,1222.1868975719583,13.111084795939945,40.475118013156674,118225,118419,88465990.08035278,84280755.47271474,0.395760336982201,1,12.711006076975018,195.49527734296723
2007,3.7000086243252226,28.93751507207777,138.69462413885245,1217.8955336548045,12.316303498186354,40.439489230360756,113859,120524,87486579.24399821,87477286.45979817,0.3768470249191523,1,12.38519426246892,197.42352809392543
2008,3.5502109293727564,28.943180332027403,132.57051204242612,1218.7108575373727,11.798954106618162,40.24852263893881,114352,119639,88918158.24533081,87670306.82436116,0.36433661835592424,1,12.49841922225735,198.3876127568073
2009,3.0124586621419858,29.239281016264012,107.12243602025193,1218.5428492736257,9.552356420207087,39.32790302462056,118018,119453,91635035.6595052,86696469.89731343,0.3112244290086787,1,11.94479695431472,199.07995531401696
2010,2.9256332750883507,29.14022401917529,104.21737318456935,1218.8549432562847,9.377647875427549,39.71116740553093,119577,118425,93811338.43404134,86548305.8672282,0.3034128822609312,1,11.750936329588015,195.84894480330257
2011,2.838144951095853,28.40935169292558,101.7021359827176,1190.6680666261752,9.277811353518501,39.85263800352638,117479,117968,94089606.57695007,87634962.38707478,0.30216974018774734,1,11.391830559757942,189.86384845681738
2012,2.7900326651182015,28.5229335695182,99.6915359056036,1200.5552951735176,9.295606128688359,40.043012207080785,113499,118292,93636571.86358643,89495132.0874939,0.30295056770316076,1,11.155555555555557,198.75156928168434
2013,2.7376313960823815,28.433184575120855,98.35343657118405,1198.6190908414899,9.129014516274458,40.094185354901946,110910,119371,92837241.12811787,91496937.40237935,0.29871184894692676,1,10.992700729927007,198.1434306569343
2014,2.8638779378329886,28.38187237304065,104.7515629320141,1198.4765942879906,9.635895821150646,40.1542664702168,111155,118775,92809288.42747624,92306699.82835643,0.3112818775441011,1,11.350129198966407,195.9526914979347
2015,3.127307033912666,29.7637896740628,114.5449385696787,1259.8427206426538,10.266733293476223,40.077755451754044,112067,114963,93973017.23907726,92231823.75170644,0.3276109924634819,1,11.870163370593295,196.61107398678533
2016,3.6443251339616523,31.157797813107695,134.14661830878913,1317.5796141076312,11.455299322861887,40.35452238535436,115043,110340,97202689.41366069,89905888.30876668,0.35943244664624624,1,12.784380305602717,196.6823700287953
2017,3.5301929935446688,30.75066658031335,129.12882706167258,1300.9712079599524,11.02086870992586,40.299776707648434,107769,111513,93420835.06411235,93419944.82550557,0.3491878199095129,1,12.667009732729827,193.46385391531254
2018,3.87554426253849,31.805530413480046,144.68912185427772,1348.424252906374,11.896049424701015,40.598374044798256,105858,106522,94950352.38087972,93026976.46770222,0.3701414936024934,1,13.2355327203894,198.98411882316964
2019,4.153196675785755,32.56125702798125,157.427648645121,1383.9284239043186,12.524236236394996,40.610457002457004,100882,101750,94757874.91912842,93166039.6118571,0.3826544689436159,1,14,197.615249633789
